poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
35,0,0.07267895748770795,0.07267895748770795,0.009036886206243511,0.008635281330598151,0.023839
35,1,0.18004202662743188,-0.10736306913972393,0.018779133138621416,0.018168751012101452,17.491527
35,2,0.2018449120071285,-0.02180288537969663,0.012786462171827837,0.013759743073711295,33.852488
35,3,0.20257812830935518,-0.0007332163022266691,0.012771623995162585,0.01343449766960878,38.209909
35,4,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,42.097012
35,5,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,45.571996
35,6,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,49.684272
35,7,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,53.380136
35,8,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,57.352301
35,9,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,61.113039
35,10,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,64.717803
35,11,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,68.410428
35,12,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,72.43916
35,13,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,75.917934
35,14,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,80.239194
35,15,0.20257812830935518,0.0,0.012771623995162585,0.01343449766960878,84.196547
35,-1,None,None,0.012771623995162585,0.01343449766960878,84.232263
73,0,0.09664106106446255,0.09664106106446255,0.015809101443168567,0.015229670987293492,0.029875
73,1,0.33572229263091036,-0.2390812315664478,0.01843209181814214,0.020713143255952728,35.06122
73,2,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,43.21168
73,3,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,50.192512
73,4,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,58.497319
73,5,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,67.016246
73,6,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,74.38979
73,7,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,82.170766
73,8,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,88.749959
73,9,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,96.3328
73,10,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,104.5293
73,11,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,112.258639
73,12,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,120.522102
73,13,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,128.237423
73,14,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,135.94399
73,15,0.33572229263091036,0.0,0.01843209181814214,0.020713143255952728,143.988075
73,-1,None,None,0.01843209181814214,0.020713143255952728,144.041136
115,0,0.11458973388821406,0.11458973388821406,0.022473721133370265,0.021570442767658685,0.037124
115,1,0.4145752091231709,-0.2999854752349569,0.027392132249161892,0.026731533899963047,53.705472
115,2,0.3744038886362566,0.0401713204869143,0.02672510080443064,0.02593712313263476,69.275794
115,3,0.39261665178572286,0.02195855733744806,0.026809763997296298,0.025976524907117986,82.809906
115,4,0.40396802777042345,0.010607181352747463,0.026917192599374848,0.026072841147110865,96.421419
115,5,0.4104067867698997,0.004168422353271195,0.02701784170655688,0.02618500632557166,110.896352
115,6,0.413754058671704,0.0008211504514669121,0.027102660553724962,0.026292467184627608,124.283487
115,7,0.4153158471771037,-0.0007406380539327628,0.027170928025351017,0.026386581049237006,139.49484
115,8,0.41546793485011807,-0.0001520876730143894,0.027162471559213308,0.026382181878473684,151.939107
115,9,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,164.901243
115,10,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,177.860673
115,11,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,189.505629
115,12,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,200.897004
115,13,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,212.74094
115,14,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,226.130771
115,15,0.41546793485011807,0.0,0.027162471559213308,0.026382181878473684,237.51013
115,-1,None,None,0.027162471559213308,0.026382181878473684,237.57913
160,0,0.1305799974132783,0.1305799974132783,0.028578109034075493,0.026084764134356554,0.041046
160,1,0.27213278779984046,-0.14155279038656216,0.037218623500912255,0.034576270038494006,67.868202
160,2,0.4856522500561354,-0.21351946225629492,0.04373108138670144,0.04014433542529657,133.264164
160,3,0.48756804534165754,-0.0019157952855221594,0.04354983161658908,0.039724879194609555,158.171977
