poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
35,0,0.05331254212064089,0.05331254212064089,0.007961047641425226,0.007563610927217252,0.026006
35,1,0.11540416056635927,-0.06209161844571838,0.013100363009239183,0.010587343320283294,14.416359
35,2,0.18856513960201562,-0.07316097903565635,0.010659715191704824,0.007657254592665915,31.157098
35,3,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,35.042386
35,4,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,38.891054
35,5,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,42.647019
35,6,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,46.861212
35,7,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,50.704488
35,8,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,54.139249
35,9,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,58.044386
35,10,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,61.909374
35,11,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,65.408594
35,12,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,69.17063
35,13,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,73.136557
35,14,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,76.76829
35,15,0.18856513960201562,0.0,0.010659715191704824,0.007657254592665915,80.653125
35,-1,None,None,0.010659715191704824,0.007657254592665915,80.671959
73,0,0.07067093609671767,0.07067093609671767,0.014286749177594224,0.009399784855713671,0.037254
73,1,0.20890333106279657,-0.13823239496607892,0.03350007436338164,0.014102107687178926,30.588272
73,2,0.19264279145298777,0.016260539609808805,0.016789930831902587,0.0058437164534966436,57.945564
73,3,0.22707600366582895,-0.018172672603032375,0.018360580844220764,0.006571238374007084,86.933083
73,4,0.23365119808716342,-0.006575194421334474,0.015299133791993528,0.005712617884921907,98.988241
73,5,0.23063378942295892,0.003017408664204496,0.014985298795538097,0.0054757597613479345,108.829675
73,6,0.234353042853562,-0.0007018447663985905,0.014787480135887243,0.005395931789978636,117.883021
73,7,0.23534450048920239,-0.0009914576356403748,0.014045493713198631,0.005439691154863489,126.513257
73,8,0.23660847412181044,-0.0012639736326080508,0.013614286995979021,0.005226284344603218,134.479089
73,9,0.23660847412181044,0.0,0.013614286995979021,0.005226284344603218,141.963727
73,10,0.23660847412181044,0.0,0.013614286995979021,0.005226284344603218,149.602273
73,11,0.23660847412181044,0.0,0.013614286995979021,0.005226284344603218,157.797776
